127.0.0.1 - - [27/Nov/2024:17:18:56 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:18:58 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:18:58 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:19:06 +0530] "GET /Spring_Web/insert_data?roll=&name=&per= HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:22:52 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:22:52 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:23:05 +0530] "GET /Spring_Web/insert_data?roll=101&name=qqq&per=10.0 HTTP/1.1" 500 6606
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:25:29 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:25:29 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:25:29 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:25:36 +0530] "GET /Spring_Web/insert_data?roll=101&name=&per= HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:30:30 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:30:30 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:30:30 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:30:31 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:30:31 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:30:42 +0530] "GET /Spring_Web/insert_data?roll=101&name=MERN+STACK+hai&per=10.0 HTTP/1.1" 500 4042
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:31:21 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:31:21 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:31:22 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:31:22 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:31:46 +0530] "GET /Spring_Web/insert_data?roll=101&name=mern&per=10.0 HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:32:33 +0530] "GET /Spring_Web/insert_data?roll=101&name=mern&per=10.0 HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:32:33 +0530] "GET /Spring_Web/insert_data?roll=101&name=mern&per=10.0 HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:32:33 +0530] "GET /Spring_Web/insert_data?roll=101&name=mern&per=10.0 HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:32:33 +0530] "GET /Spring_Web/insert_data?roll=101&name=mern&per=10.0 HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:32:34 +0530] "GET /Spring_Web/insert_data?roll=101&name=mern&per=10.0 HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:32:34 +0530] "GET /Spring_Web/insert_data?roll=101&name=mern&per=10.0 HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:32:38 +0530] "GET /Spring_Web/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:32:58 +0530] "GET /Spring_Web/insert_data?roll=101&name=deepu+kitana+badmash+hai+&per=1000%25 HTTP/1.1" 200 200
